Gtm,Date,Home,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStart,pH,pR,pER,pUER,pBB,pSO,pHR,pHBP,pERA,pPit,pStr,pIR,pIS,pSB,pCS,pAB,p2B,p3B,pIBB,pSH,pSF,pROE,pGDP,TmStart
1,2023-03-30,False,ARI,LAD,0,30,28,2,4,1,0,0,2,0,0,8,1,0,1,1,2,0,0,0.143,0.167,0.179,0.345,1,L,J.Urías,12,8,8,0,5,12,1,0,9.0,158,96,6.0,2.0,0,0,34,2,0,0,0,1,0,0,Z.Gallen
2,2023-03-31,False,ARI,LAD,1,35,34,2,7,2,0,1,2,1,0,5,0,0,0,0,0,0,0,0.177,0.2,0.274,0.474,6,R,D.May,5,1,1,0,9,9,1,0,4.76,163,91,4.0,0.0,0,1,31,1,0,0,0,0,0,0,M.Kelly
3,2023-04-01,False,ARI,LAD,0,32,32,1,5,2,0,1,1,0,0,10,0,0,0,1,1,0,0,0.17,0.186,0.287,0.473,4,L,C.Kershaw,8,10,10,0,5,7,4,1,6.84,145,85,0.0,0.0,0,1,30,2,0,0,0,1,0,0,M.Bumgarner
4,2023-04-02,False,ARI,LAD,1,34,33,2,9,2,0,0,2,0,0,6,1,0,0,0,2,4,0,0.197,0.214,0.299,0.513,5,R,N.Syndergaard,4,1,1,0,4,11,1,1,5.29,148,89,2.0,0.0,1,0,31,0,0,0,0,0,0,0,Z.Davies
5,2023-04-03,False,ARI,SDP,0,35,34,4,9,1,0,2,3,1,0,8,0,0,0,0,2,0,0,0.211,0.229,0.335,0.564,4,L,R.Weathers,8,5,5,0,5,6,3,0,5.36,144,85,2.0,0.0,0,0,31,2,0,0,0,0,0,1,R.Nelson
6,2023-04-04,False,ARI,SDP,1,43,31,8,9,2,0,0,7,7,0,5,2,1,2,0,2,5,1,0.224,0.269,0.339,0.608,8,R,Y.Darvish,10,6,5,1,2,6,3,0,5.29,135,84,0.0,0.0,0,0,37,3,0,0,0,0,0,0,Z.Gallen
7,2023-04-06,True,ARI,LAD,0,35,32,2,5,3,1,0,1,3,0,8,0,0,0,0,0,0,0,0.214,0.263,0.335,0.598,6,R,D.May,7,5,3,2,6,8,1,1,4.95,148,87,2.0,0.0,0,0,32,3,0,0,0,0,1,1,M.Kelly
8,2023-04-07,True,ARI,LAD,1,36,33,6,10,3,0,2,6,2,0,5,1,0,0,0,1,1,0,0.226,0.276,0.366,0.642,6,L,C.Kershaw,5,3,2,1,9,10,2,0,4.57,170,88,3.0,0.0,0,0,30,1,0,0,0,1,0,0,M.Bumgarner
9,2023-04-08,True,ARI,LAD,1,42,39,12,17,4,2,2,12,0,0,6,2,0,1,0,0,2,0,0.253,0.299,0.422,0.721,6,R,N.Syndergaard,11,8,8,0,5,9,2,0,4.96,159,100,0.0,0.0,0,0,35,5,0,0,0,1,0,2,Z.Davies
10,2023-04-09,True,ARI,LAD,1,44,40,11,16,4,0,0,11,4,0,10,0,0,0,0,0,5,0,0.271,0.318,0.432,0.749,9,R,M.Grove,7,6,6,0,5,4,0,0,5.07,155,91,0.0,0.0,0,0,33,2,2,0,0,1,0,1,R.Nelson
11,2023-04-10,True,ARI,MIL,1,35,32,3,8,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.269,0.318,0.429,0.747,8,L,W.Miley,3,0,0,0,1,15,0,0,4.59,126,80,0.0,0.0,0,1,28,0,0,0,0,0,0,1,Z.Gallen
12,2023-04-11,True,ARI,MIL,0,31,30,1,4,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0.259,0.306,0.407,0.713,3,R,C.Burnes,8,7,7,0,5,9,3,1,4.8,154,94,3.0,2.0,1,1,32,1,0,0,0,0,0,2,M.Kelly
13,2023-04-12,True,ARI,MIL,1,39,36,7,12,5,0,2,7,2,0,3,0,0,0,1,0,0,0,0.265,0.311,0.426,0.738,8,R,J.Junk,11,3,3,0,3,9,0,0,4.66,148,97,5.0,2.0,0,0,36,1,0,0,0,0,0,2,D.Jameson
14,2023-04-14,False,ARI,MIA,0,34,33,1,6,0,0,0,1,1,0,8,0,0,0,0,0,1,0,0.259,0.304,0.409,0.713,6,L,T.Rogers,11,5,5,0,1,2,0,1,4.72,116,76,0.0,0.0,1,0,34,2,0,0,0,0,0,0,M.Bumgarner
15,2023-04-15,False,ARI,MIA,0,36,31,2,6,2,0,0,2,3,0,8,1,0,1,0,1,0,0,0.255,0.302,0.4,0.702,7,L,B.Garrett,9,3,3,0,0,5,1,0,4.64,117,81,2.0,1.0,0,0,30,1,0,0,0,0,0,2,R.Nelson
16,2023-04-16,False,ARI,MIA,1,34,33,5,7,2,0,1,5,0,0,11,0,1,0,2,1,0,0,0.252,0.297,0.397,0.695,2,R,S.Alcántara,4,0,0,0,1,8,0,1,4.34,120,77,1.0,0.0,0,0,29,1,0,0,0,0,0,2,Z.Gallen
17,2023-04-17,False,ARI,STL,1,33,29,6,5,2,0,2,6,4,0,9,0,0,0,0,2,0,1,0.248,0.296,0.4,0.696,0,R,J.Flaherty,6,3,3,0,0,7,1,2,4.26,125,84,0.0,0.0,1,0,31,2,0,0,0,0,0,2,M.Kelly
18,2023-04-18,False,ARI,STL,1,41,40,8,14,3,1,1,8,1,0,7,0,0,0,0,1,0,0,0.255,0.3,0.41,0.71,6,L,J.Montgomery,8,7,7,0,8,9,3,0,4.41,162,96,2.0,0.0,0,0,35,3,0,0,0,0,0,0,D.Jameson
19,2023-04-19,False,ARI,STL,0,41,37,5,11,3,0,2,5,3,0,10,0,0,1,0,0,1,0,0.257,0.303,0.418,0.72,9,R,J.Woodford,13,14,14,0,9,6,2,0,4.96,178,102,0.0,0.0,3,0,36,4,1,0,0,0,0,0,M.Bumgarner
20,2023-04-20,True,ARI,SDP,0,40,39,5,12,3,1,0,4,1,0,8,0,0,0,0,0,0,0,0.26,0.304,0.419,0.723,8,R,M.Wacha,7,7,5,2,4,9,2,0,4.97,155,95,2.0,0.0,0,1,34,3,0,0,0,0,1,0,R.Nelson
21,2023-04-21,True,ARI,SDP,1,39,36,9,12,3,0,0,9,3,0,9,0,0,0,0,0,0,0,0.264,0.308,0.419,0.727,6,R,S.Lugo,2,0,0,0,0,13,0,0,4.72,124,86,0.0,0.0,0,0,29,1,0,0,0,0,0,0,Z.Gallen
22,2023-04-22,True,ARI,SDP,0,36,35,3,9,1,0,1,3,0,0,7,1,0,0,0,1,1,0,0.264,0.307,0.416,0.723,6,R,J.Musgrove,6,5,5,0,6,11,1,0,4.73,146,90,4.0,3.0,0,0,32,1,0,0,0,0,0,1,M.Kelly
23,2023-04-23,True,ARI,SDP,0,37,31,5,6,1,1,3,5,5,0,8,0,0,1,0,1,1,0,0.261,0.306,0.423,0.729,5,R,Y.Darvish,8,7,7,0,6,7,1,0,4.84,173,98,1.0,1.0,0,0,32,3,1,0,0,2,0,1,D.Jameson
24,2023-04-24,True,ARI,KCR,1,37,28,5,7,1,0,0,5,8,0,6,0,0,1,0,2,0,1,0.261,0.311,0.418,0.729,8,R,B.Keller,10,4,4,0,5,6,1,0,4.8,161,95,2.0,2.0,0,1,36,2,0,0,0,0,0,0,T.Henry
25,2023-04-25,True,ARI,KCR,0,40,36,4,10,3,1,0,3,3,0,9,0,0,1,0,0,3,0,0.261,0.311,0.418,0.729,9,R,B.Singer,14,5,5,0,1,4,0,1,4.81,145,94,0.0,0.0,0,1,37,4,1,0,0,1,0,2,R.Nelson
26,2023-04-26,True,ARI,KCR,1,32,27,2,6,0,0,0,2,2,0,9,2,1,0,0,1,0,1,0.26,0.312,0.412,0.723,6,L,R.Yarbrough,5,0,0,0,1,13,0,0,4.62,137,89,1.0,0.0,0,0,33,0,0,0,0,0,1,0,Z.Gallen
27,2023-04-28,False,ARI,COL,1,41,34,9,10,2,0,1,9,4,0,4,0,1,2,0,1,1,0,0.261,0.313,0.413,0.726,5,L,K.Freeland,7,1,1,0,1,8,0,0,4.48,137,98,0.0,0.0,0,0,33,0,0,0,0,0,0,1,M.Kelly
28,2023-04-29,False,ARI,COL,1,44,42,11,16,5,0,2,11,2,0,10,0,0,0,0,0,0,1,0.267,0.317,0.423,0.74,6,R,N.Davis,8,4,4,0,2,7,0,0,4.46,128,82,1.0,1.0,1,0,34,3,1,0,0,0,0,0,T.Henry
29,2023-04-30,False,ARI,COL,0,37,33,4,7,3,0,1,4,4,0,7,0,0,0,0,1,0,0,0.265,0.316,0.422,0.739,6,L,A.Gomber,16,12,12,0,3,4,1,0,4.75,141,97,2.0,0.0,0,0,38,7,0,0,0,1,0,1,R.Nelson
30,2023-05-02,False,ARI,TEX,0,40,35,4,9,0,0,2,4,4,0,4,0,0,1,0,0,0,0,0.265,0.317,0.423,0.739,9,R,J.Gray,10,6,6,0,2,9,1,0,4.81,157,97,2.0,1.0,0,0,32,2,0,0,1,0,0,1,Z.Gallen
31,2023-05-03,False,ARI,TEX,1,44,36,12,10,1,0,4,12,7,0,8,0,0,1,0,0,1,0,0.265,0.319,0.43,0.749,5,L,A.Heaney,12,7,7,0,3,10,4,0,4.88,163,102,2.0,0.0,0,1,38,2,0,0,0,1,1,0,B.Pfaadt
32,2023-05-05,True,ARI,WSN,1,34,30,3,7,1,0,1,3,3,0,8,0,0,1,0,0,0,1,0.264,0.319,0.428,0.747,7,R,J.Gray,4,1,1,0,1,12,1,0,4.76,118,81,0.0,0.0,1,0,30,0,0,0,0,0,0,1,M.Kelly
33,2023-05-06,True,ARI,WSN,1,44,37,8,16,0,1,2,7,4,1,9,0,3,0,1,2,0,0,0.27,0.324,0.435,0.76,11,L,M.Gore,11,7,7,0,3,8,2,0,4.83,134,90,2.0,1.0,1,1,36,2,0,0,0,0,0,0,T.Henry
34,2023-05-07,True,ARI,WSN,0,46,35,8,9,2,1,3,7,11,0,7,0,0,0,0,0,3,1,0.269,0.328,0.441,0.77,11,R,T.Williams,16,9,7,2,3,6,1,0,4.89,171,102,2.0,0.0,0,0,39,2,0,0,1,0,1,2,R.Nelson
35,2023-05-08,True,ARI,MIA,1,39,37,5,13,3,0,1,5,2,0,8,0,0,0,0,0,1,0,0.272,0.33,0.444,0.774,10,L,B.Garrett,9,2,2,0,1,8,0,0,4.81,123,85,1.0,1.0,0,0,35,3,0,0,0,0,0,1,Z.Gallen
36,2023-05-09,True,ARI,MIA,0,39,37,2,11,2,0,1,2,2,0,7,0,0,0,0,1,0,0,0.273,0.33,0.443,0.773,10,L,J.Luzardo,9,6,6,0,2,4,2,0,4.84,140,94,1.0,0.0,2,1,34,3,0,0,0,0,0,1,B.Pfaadt
37,2023-05-10,True,ARI,MIA,0,38,31,4,5,1,0,0,3,6,0,15,0,1,0,0,0,1,0,0.27,0.329,0.437,0.766,7,R,E.Cabrera,7,5,5,0,1,10,1,0,4.85,145,94,1.0,1.0,0,0,33,4,0,0,1,0,0,0,M.Kelly
38,2023-05-11,True,ARI,SFG,0,35,32,2,9,1,0,0,2,3,0,5,0,0,0,0,3,0,0,0.27,0.33,0.434,0.764,6,R,A.Cobb,8,6,5,1,3,3,1,1,4.85,143,90,1.0,0.0,1,1,33,1,0,0,0,1,0,1,T.Henry
39,2023-05-12,True,ARI,SFG,1,40,35,7,12,3,0,2,6,5,0,7,0,0,0,0,1,1,0,0.272,0.332,0.438,0.771,9,R,J.Brebbia,11,5,5,0,2,7,2,1,4.85,149,100,3.0,1.0,0,0,37,4,0,0,0,0,0,0,R.Nelson
40,2023-05-13,True,ARI,SFG,1,34,31,7,9,2,1,1,5,2,1,4,0,1,0,0,0,0,0,0.273,0.332,0.44,0.772,3,R,A.DeSclafani,7,2,2,0,2,7,0,0,4.78,121,83,3.0,0.0,0,1,32,2,0,0,0,1,0,0,Z.Gallen
41,2023-05-14,True,ARI,SFG,1,32,27,2,4,2,0,0,2,4,0,3,1,0,0,0,1,1,0,0.27,0.331,0.436,0.767,6,R,L.Webb,3,1,1,0,3,12,1,0,4.69,153,100,0.0,0.0,0,0,30,2,0,0,0,0,0,0,B.Pfaadt
42,2023-05-15,False,ARI,OAK,1,42,35,5,10,2,0,2,5,6,0,6,0,0,1,0,1,0,0,0.27,0.332,0.438,0.77,10,R,D.Rucinski,4,2,1,1,2,9,1,0,4.6,122,81,2.0,0.0,1,0,31,0,0,0,0,0,1,0,M.Kelly
43,2023-05-16,False,ARI,OAK,0,55,50,8,15,4,0,2,8,4,1,13,1,0,0,0,1,1,0,0.271,0.334,0.44,0.774,14,L,K.Muller,12,9,4,5,7,16,3,1,4.56,220,139,6.0,3.0,1,0,47,2,0,2,0,0,0,1,T.Henry
44,2023-05-17,False,ARI,OAK,1,38,32,5,6,2,0,2,5,5,1,11,0,0,1,0,0,0,0,0.27,0.333,0.44,0.772,6,R,L.Medina,5,3,3,0,7,9,1,0,4.52,140,81,3.0,0.0,0,1,29,1,0,0,1,0,0,0,R.Nelson
45,2023-05-19,False,ARI,PIT,0,38,32,3,4,1,0,1,3,5,0,11,1,0,0,1,0,0,0,0.267,0.331,0.436,0.767,8,R,J.Oviedo,17,13,10,3,6,5,1,0,4.65,170,102,1.0,0.0,0,0,41,5,0,0,0,0,0,1,Z.Gallen
46,2023-05-20,False,ARI,PIT,1,36,35,4,8,0,0,2,4,0,0,12,1,0,0,0,0,3,0,0.266,0.329,0.435,0.764,5,R,M.Keller,7,3,3,0,3,7,0,0,4.62,140,83,0.0,0.0,0,1,33,1,1,0,0,0,0,0,B.Pfaadt
47,2023-05-21,False,ARI,PIT,1,41,33,8,9,2,0,1,6,5,0,5,1,2,0,1,2,2,0,0.266,0.331,0.435,0.765,6,R,R.Contreras,3,3,2,1,4,7,0,0,4.56,149,91,0.0,0.0,0,0,30,1,0,0,0,0,0,0,M.Kelly
48,2023-05-22,False,ARI,PHI,1,40,38,6,10,3,0,2,5,2,0,6,0,0,0,1,0,1,0,0.266,0.33,0.436,0.766,7,R,Z.Wheeler,6,3,3,0,5,12,2,0,4.53,154,97,2.0,1.0,1,0,33,0,0,1,0,0,0,0,T.Henry
49,2023-05-23,False,ARI,PHI,1,39,36,4,10,4,1,1,4,3,0,11,0,0,0,0,1,0,0,0.266,0.33,0.438,0.768,8,L,M.Strahm,6,3,3,0,2,4,0,1,4.5,135,86,3.0,2.0,0,1,32,3,0,0,0,0,0,0,R.Nelson
50,2023-05-24,False,ARI,PHI,0,42,35,5,6,3,0,1,5,7,0,11,0,0,0,0,0,1,1,0.264,0.329,0.436,0.766,8,L,R.Suárez,11,6,4,2,5,8,1,0,4.49,172,106,3.0,2.0,0,0,38,0,0,1,0,0,0,0,Z.Gallen
51,2023-05-26,True,ARI,BOS,0,35,33,2,7,0,1,0,2,2,0,5,0,0,0,0,1,1,0,0.263,0.328,0.433,0.761,6,L,C.Sale,14,7,7,0,3,11,1,0,4.54,189,114,1.0,0.0,1,0,41,6,0,0,0,0,0,0,B.Pfaadt
52,2023-05-27,True,ARI,BOS,0,30,30,1,3,1,0,1,1,0,0,8,0,0,0,0,0,0,0,0.26,0.325,0.43,0.755,2,R,G.Whitlock,6,2,2,0,4,10,0,0,4.49,151,90,3.0,1.0,0,1,31,0,0,0,1,0,0,0,Z.Davies
53,2023-05-28,True,ARI,BOS,1,33,33,4,9,0,0,2,4,0,0,8,0,0,0,0,0,1,0,0.261,0.324,0.43,0.754,5,R,T.Houck,8,2,2,0,4,15,1,0,4.44,163,95,3.0,1.0,0,0,35,1,0,0,0,0,0,0,M.Kelly
54,2023-05-29,True,ARI,COL,1,37,33,7,11,2,0,2,7,3,0,3,0,0,1,0,1,4,0,0.262,0.325,0.433,0.758,6,R,K.Kauffmann,13,5,5,0,4,8,1,0,4.45,152,99,1.0,0.0,0,0,38,1,1,0,0,0,0,1,R.Nelson
55,2023-05-30,True,ARI,COL,1,32,28,5,6,0,0,3,5,3,0,1,0,0,1,0,1,4,0,0.261,0.324,0.435,0.759,3,L,K.Freeland,8,1,1,0,3,12,1,0,4.39,153,96,0.0,0.0,0,0,34,4,0,0,0,0,0,1,Z.Gallen
56,2023-05-31,True,ARI,COL,1,38,35,6,10,1,0,1,6,3,0,8,0,0,0,1,0,2,0,0.262,0.324,0.434,0.758,8,R,D.Lamet,3,0,0,0,2,9,0,0,4.31,126,84,0.0,0.0,0,0,29,1,0,0,0,0,0,2,T.Henry
57,2023-06-01,True,ARI,COL,1,39,35,5,9,5,0,0,5,4,0,9,0,0,0,0,0,0,0,0.262,0.325,0.433,0.758,8,R,C.Seabold,10,4,4,0,1,9,1,0,4.3,139,92,1.0,1.0,1,0,36,1,0,0,0,0,0,1,Z.Davies
58,2023-06-02,True,ARI,ATL,1,31,28,3,6,3,0,0,3,2,0,10,0,0,0,0,1,0,1,0.261,0.324,0.432,0.756,4,R,C.Morton,7,2,2,0,3,10,2,0,4.26,130,87,0.0,0.0,0,1,32,1,0,0,0,0,0,0,M.Kelly
59,2023-06-03,True,ARI,ATL,0,37,31,2,6,2,0,1,2,5,0,10,1,0,0,0,1,0,1,0.26,0.324,0.431,0.754,8,R,S.Strider,11,5,5,0,5,2,1,0,4.27,154,99,2.0,0.0,1,0,34,2,1,0,0,1,0,3,R.Nelson
60,2023-06-04,True,ARI,ATL,0,40,34,5,8,2,0,2,5,6,0,8,0,0,0,0,1,2,0,0.259,0.324,0.431,0.755,8,R,M.Soroka,14,8,7,1,4,10,2,0,4.32,175,108,0.0,0.0,3,0,39,1,0,1,0,0,0,2,Z.Gallen
61,2023-06-06,False,ARI,WSN,1,47,35,10,12,0,0,1,10,8,0,4,2,0,2,1,2,5,1,0.261,0.327,0.431,0.758,10,R,J.Irvin,7,5,5,0,3,5,2,1,4.33,136,88,2.0,0.0,1,0,32,1,0,0,0,0,0,2,T.Henry
62,2023-06-07,False,ARI,WSN,1,41,40,6,15,4,0,1,6,1,0,5,0,0,0,0,0,2,1,0.263,0.328,0.433,0.762,8,L,P.Corbin,7,2,2,0,1,11,0,0,4.29,134,91,1.0,0.0,0,0,34,1,0,0,0,0,1,1,Z.Davies
63,2023-06-09,False,ARI,DET,1,42,33,11,11,3,0,2,11,4,0,5,0,2,1,0,1,0,0,0.264,0.329,0.436,0.765,4,R,M.Lorenzen,11,6,6,0,2,6,3,0,4.32,142,97,0.0,0.0,0,0,36,2,0,0,0,1,0,0,M.Kelly
64,2023-06-10,False,ARI,DET,1,34,32,5,7,1,0,2,5,2,0,8,0,0,0,0,1,0,0,0.263,0.328,0.436,0.765,2,L,M.Boyd,6,0,0,0,3,8,0,0,4.25,149,98,4.0,0.0,0,0,32,3,0,0,1,0,0,0,R.Nelson
65,2023-06-11,False,ARI,DET,1,42,36,7,9,3,1,1,6,6,0,7,0,0,0,0,0,1,0,0.263,0.329,0.437,0.766,8,R,W.Vest,11,5,5,0,4,9,1,0,4.26,145,97,4.0,0.0,0,0,36,3,1,0,0,1,0,1,Z.Gallen
66,2023-06-12,True,ARI,PHI,1,40,33,9,12,1,2,1,9,3,0,7,2,0,2,0,1,0,0,0.265,0.331,0.439,0.77,7,L,M.Strahm,13,8,8,0,5,9,1,1,4.32,175,108,4.0,1.0,1,0,39,4,1,0,0,0,0,0,T.Henry
67,2023-06-13,True,ARI,PHI,0,35,34,3,8,4,1,1,3,1,0,7,0,0,0,0,1,0,0,0.264,0.33,0.44,0.77,5,R,Z.Wheeler,20,15,13,2,5,6,2,0,4.45,187,120,0.0,0.0,4,0,45,5,1,0,0,0,1,3,Z.Davies
68,2023-06-14,True,ARI,PHI,0,42,37,3,8,3,0,1,3,5,0,10,0,0,0,0,2,1,0,0.264,0.329,0.439,0.768,10,L,R.Suárez,5,4,3,1,4,12,1,0,4.42,156,99,0.0,0.0,2,0,35,2,1,0,0,1,1,0,M.Kelly
69,2023-06-15,True,ARI,PHI,0,35,34,4,7,1,0,1,4,1,0,13,0,0,0,0,0,1,0,0.263,0.328,0.437,0.765,4,R,A.Nola,13,5,5,0,4,10,1,0,4.43,157,104,2.0,0.0,1,0,40,3,0,1,0,0,0,0,R.Nelson
70,2023-06-16,True,ARI,CLE,1,42,33,5,11,3,0,0,5,7,1,6,0,1,1,0,0,1,0,0.264,0.33,0.437,0.767,13,R,T.Toussaint,7,1,1,0,0,9,1,0,4.38,117,81,0.0,0.0,0,0,33,0,0,0,0,0,0,1,Z.Gallen
71,2023-06-17,True,ARI,CLE,1,33,31,6,8,0,0,4,6,2,0,5,0,0,0,1,2,0,0,0.264,0.329,0.44,0.769,3,R,S.Bieber,10,3,3,0,4,4,1,0,4.36,132,89,2.0,1.0,1,0,35,0,0,0,0,1,0,1,T.Henry
72,2023-06-18,True,ARI,CLE,0,42,35,3,9,3,0,1,3,7,0,8,0,0,0,0,1,0,0,0.264,0.33,0.44,0.77,12,R,T.Bibee,16,12,11,1,4,5,0,0,4.46,177,107,2.0,2.0,1,0,43,2,3,0,0,1,1,0,Z.Davies
73,2023-06-19,False,ARI,MIL,1,42,38,9,11,2,0,2,8,4,0,4,0,0,0,0,0,0,0,0.264,0.33,0.441,0.771,6,R,C.Burnes,3,1,1,0,2,8,0,0,4.41,107,74,0.0,0.0,0,0,27,0,1,0,0,0,0,3,M.Kelly
74,2023-06-20,False,ARI,MIL,0,38,36,5,10,2,0,1,5,2,0,7,0,0,0,0,1,1,0,0.264,0.33,0.44,0.771,6,R,C.Rea,10,7,7,0,1,10,1,0,4.45,139,96,4.0,3.0,0,0,34,3,0,0,0,0,0,0,R.Nelson
75,2023-06-21,False,ARI,MIL,1,45,35,5,9,2,0,0,4,9,0,7,1,0,0,0,1,7,0,0.264,0.332,0.439,0.77,13,R,J.Teheran,3,1,1,0,1,8,1,0,4.4,113,76,0.0,0.0,0,0,29,1,0,0,0,0,0,1,Z.Gallen
76,2023-06-22,False,ARI,WSN,1,38,34,5,9,0,0,1,4,2,0,8,1,0,1,1,2,1,0,0.264,0.331,0.437,0.769,6,R,J.Irvin,9,3,3,0,1,9,2,0,4.38,129,87,1.0,0.0,0,0,35,1,0,0,0,0,0,1,T.Henry
77,2023-06-23,False,ARI,SFG,0,37,35,5,8,3,0,1,4,2,0,7,0,0,0,1,1,1,0,0.264,0.331,0.437,0.768,5,R,L.Webb,12,8,8,0,4,7,1,0,4.44,144,84,2.0,2.0,0,0,35,4,0,0,0,0,0,1,Z.Davies
78,2023-06-24,False,ARI,SFG,0,42,40,6,12,3,0,1,6,2,0,12,0,0,0,0,0,1,0,0.264,0.331,0.437,0.768,9,R,R.Walker,10,7,5,2,2,7,1,1,4.45,117,75,0.0,0.0,0,0,32,2,1,0,0,1,1,1,M.Kelly
79,2023-06-25,False,ARI,SFG,1,39,34,5,10,2,0,1,5,4,0,6,0,1,0,0,1,2,0,0.264,0.331,0.437,0.768,7,R,A.DeSclafani,6,2,2,0,5,9,0,0,4.42,142,96,1.0,1.0,0,0,33,1,0,0,0,0,0,0,R.Nelson
80,2023-06-27,True,ARI,TBR,1,36,32,8,10,1,0,4,8,2,0,10,0,0,2,0,0,1,0,0.265,0.331,0.441,0.772,4,R,T.Bradley,6,4,4,0,2,5,1,0,4.42,131,84,0.0,0.0,0,0,34,3,0,0,0,0,0,0,Z.Gallen
81,2023-06-28,True,ARI,TBR,0,36,35,2,8,3,0,0,2,1,0,8,0,0,0,0,0,1,0,0.265,0.33,0.439,0.769,7,R,Z.Eflin,6,3,3,0,2,4,0,0,4.4,125,73,0.0,0.0,0,0,32,2,0,0,0,0,0,1,Z.Davies
82,2023-06-29,True,ARI,TBR,0,36,33,1,8,2,1,1,1,3,0,9,0,0,0,0,2,0,0,0.264,0.33,0.439,0.769,8,R,Z.Littell,9,6,6,0,4,12,1,1,4.42,157,105,2.0,0.0,0,1,33,1,1,0,0,0,0,2,B.Pfaadt
83,2023-06-30,False,ARI,LAA,1,40,31,6,5,0,0,1,6,7,0,11,1,0,1,0,0,0,0,0.263,0.33,0.437,0.767,7,R,G.Canning,4,2,1,1,3,10,1,1,4.38,144,85,1.0,0.0,0,0,31,0,0,0,0,0,0,1,T.Henry
84,2023-07-01,False,ARI,LAA,1,42,37,3,9,0,1,0,2,4,0,8,1,0,0,1,0,1,0,0.263,0.33,0.435,0.765,12,L,T.Anderson,3,1,1,0,3,9,1,1,4.34,118,77,0.0,0.0,0,0,30,2,0,0,0,0,0,0,R.Nelson
85,2023-07-02,False,ARI,LAA,0,35,32,2,5,1,0,1,2,3,0,12,0,0,0,0,0,0,0,0.262,0.329,0.434,0.762,6,L,R.Detmers,6,5,5,0,1,13,3,0,4.35,114,78,0.0,0.0,1,0,30,0,0,0,0,0,0,0,Z.Gallen
86,2023-07-04,True,ARI,NYM,0,41,35,5,8,0,0,3,5,6,0,12,0,0,0,0,0,1,0,0.261,0.329,0.434,0.763,9,R,M.Scherzer,8,8,8,0,6,9,3,1,4.39,172,100,3.0,1.0,4,0,32,1,0,0,0,1,0,1,Z.Davies
87,2023-07-05,True,ARI,NYM,0,31,30,1,4,0,0,1,1,1,0,13,0,0,0,0,1,2,0,0.26,0.327,0.432,0.76,3,R,K.Senga,6,2,2,0,6,6,1,0,4.36,153,98,3.0,0.0,2,0,32,0,1,1,0,0,0,0,T.Henry
88,2023-07-06,True,ARI,NYM,0,30,29,0,4,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0.259,0.326,0.43,0.756,3,R,C.Carrasco,17,9,9,0,3,7,3,2,4.42,178,116,0.0,0.0,0,0,42,2,2,0,0,0,0,2,R.Nelson
89,2023-07-07,True,ARI,PIT,1,40,34,7,12,3,0,1,6,6,0,6,0,0,0,0,1,5,1,0.26,0.327,0.431,0.758,9,L,R.Hill,6,3,3,0,2,7,0,1,4.4,142,92,0.0,0.0,1,0,33,1,0,0,0,0,0,0,Z.Gallen
90,2023-07-08,True,ARI,PIT,1,39,31,3,5,0,0,1,3,6,1,6,0,2,0,0,1,1,0,0.259,0.327,0.429,0.756,9,R,M.Keller,4,2,1,1,2,15,0,0,4.36,144,96,3.0,0.0,0,0,34,2,0,0,0,0,1,0,K.Nelson
91,2023-07-09,True,ARI,PIT,0,34,29,2,4,2,0,1,1,3,0,6,0,2,0,1,1,2,0,0.258,0.326,0.428,0.754,5,R,C.Mlodzinski,6,4,4,0,3,10,1,0,4.35,136,83,1.0,0.0,0,1,30,1,0,0,1,1,0,0,Z.Davies
92,2023-07-14,False,ARI,TOR,0,35,33,2,9,2,0,1,1,2,0,11,0,0,0,0,0,0,1,0.258,0.326,0.428,0.754,6,R,J.Berríos,16,7,5,2,1,4,1,2,4.37,164,102,3.0,2.0,0,1,38,3,0,0,0,1,2,1,R.Nelson
93,2023-07-15,False,ARI,TOR,0,36,35,2,10,1,0,0,2,1,0,8,0,0,0,0,1,0,0,0.258,0.326,0.427,0.752,7,R,C.Bassitt,8,5,5,0,5,7,2,0,4.38,140,89,0.0,0.0,0,1,28,2,0,0,0,1,0,2,Z.Gallen
94,2023-07-16,False,ARI,TOR,0,38,28,5,4,2,0,0,3,8,0,8,2,0,0,0,2,1,0,0.257,0.326,0.425,0.751,6,L,Y.Kikuchi,12,7,7,0,3,7,0,0,4.41,149,97,3.0,2.0,0,0,33,4,0,0,0,1,0,1,T.Henry
95,2023-07-18,False,ARI,ATL,1,50,45,16,16,3,1,3,14,3,0,7,1,1,0,1,0,3,0,0.259,0.327,0.428,0.756,7,R,B.Elder,11,13,13,0,4,5,3,0,4.5,158,96,0.0,0.0,1,0,37,4,0,0,0,0,0,0,Z.Davies
96,2023-07-19,False,ARI,ATL,1,41,36,5,9,4,0,0,5,5,0,7,0,0,0,0,0,2,0,0.259,0.328,0.427,0.755,9,R,C.Morton,4,3,3,0,2,6,2,0,4.49,115,72,0.0,0.0,0,0,30,1,1,0,0,0,0,1,R.Nelson
